Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Schachtschneider Automobile e.K.,"Ulmenstr. 4
14482 Potsdam
Deutschland",10490,11686,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,Opel Adam 1.2 GNTM Klima PDC Sitzheizung IntelliLink ,"<p>
<strong>Abholadresse</strong>
Ulmenstr. 4
14482 Potsdam
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kleinwagen<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
21.826 km<br>
<strong>Hubraum</strong>
1.229 cm³<br>
<strong>Leistung</strong>
51 kW (69 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 5,3 l/100km (kombiniert)<br>
ca. 7,2 l/100km (innerorts)<br>
ca. 4,3 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 125 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
2/3<br>
<strong>Anzahl Sitzplätze</strong>
4<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
04/2017<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaanlage<br>
<strong>Farbe (Hersteller)</strong>
Onyx Black Metallic<br>
<strong>Farbe</strong>
Schwarz Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Android Auto, Apple CarPlay, Beheizbares Lenkrad, Berganfahrassistent, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Isofix, Lederlenkrad, Leichtmetallfelgen, Multifunktionslenkrad, Notrufsystem, Pannenkit, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sportfahrwerk, Sprachsteuerung, Tagfahrlicht, Tempomat, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, WLAN / Wifi Hotspot, Zentralverriegelung
</p>",Opel,,"Marke_Opel, Typ_Kleinwagen, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_bis 70 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Schwarz, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Mittel (200 bis 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,386,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/5McAAOSw2ZRfEEdc/$_27.JPG,1,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/99wAAOSwhHVfEEdc/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/LUsAAOSwfs5fEEdc/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/FZoAAOSwk1VfEEdc/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/LnEAAOSwGzdfEEdc/$_27.JPG,5,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/LIwAAOSw3j9fEEdd/$_27.JPG,6,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/pOEAAOSwqCZfEEdc/$_27.JPG,7,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/-ZgAAOSw6flfEEdc/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Oi8AAOSwXWJfEEdd/$_27.JPG,9,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/XnoAAOSwq1xfEEdc/$_27.JPG,10,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/JR0AAOSwOZZfEEdc/$_27.JPG,11,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/OWYAAOSwhCFfEEdc/$_27.JPG,12,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/QG8AAOSw3t5fEEdc/$_27.JPG,13,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/JEcAAOSwyJRfEEdd/$_27.JPG,14,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/2YkAAOSwEV1fEEdc/$_27.JPG,15,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/VCYAAOSw6DtfEEdc/$_27.JPG,16,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/yCcAAOSwu9dfEEdc/$_27.JPG,17,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/0EMAAOSwcGxfEEdc/$_27.JPG,18,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/qlsAAOSwTodfEEdd/$_27.JPG,19,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/5McAAOSw2ZRfEEdc/$_27.JPG,20,,,nil
,,,11634,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,405,,FALSCH,WAHR
,,,11581,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,424,,FALSCH,WAHR
,,,11529,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,443,,FALSCH,WAHR
,,,11476,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,463,,FALSCH,WAHR
,,,11559,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,366,,FALSCH,WAHR
,,,11489,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,385,,FALSCH,WAHR
,,,11419,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,404,,FALSCH,WAHR
,,,11349,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,424,,FALSCH,WAHR
,,,11279,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,443,,FALSCH,WAHR
,,,11431,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,354,,FALSCH,WAHR
,,,11344,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,373,,FALSCH,WAHR
,,,11257,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,392,,FALSCH,WAHR
,,,11169,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,412,,FALSCH,WAHR
,,,11082,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,431,,FALSCH,WAHR
,,,11304,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,346,,FALSCH,WAHR
,,,11199,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,365,,FALSCH,WAHR
,,,11094,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,384,,FALSCH,WAHR
,,,10989,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,404,,FALSCH,WAHR
,,,10884,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,441,,FALSCH,WAHR
,,,11177,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,356,,FALSCH,WAHR
,,,11054,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,375,,FALSCH,WAHR
,,,10932,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,394,,FALSCH,WAHR
,,,10809,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,414,,FALSCH,WAHR
,,,10687,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,433,,FALSCH,WAHR
,,,11049,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,350,,FALSCH,WAHR
,,,10909,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,8 Monate,,1000 km,,,ADA,0,,0,deny,manual,369,,FALSCH,WAHR
,,,10769,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,8 Monate,,1500 km,,,ADA,0,,0,deny,manual,388,,FALSCH,WAHR
,,,10630,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,8 Monate,,2000 km,,,ADA,0,,0,deny,manual,407,,FALSCH,WAHR
,,,10490,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,8 Monate,,2500 km,,,ADA,0,,0,deny,manual,427,,FALSCH,WAHR
,,,10922,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,9 Monate,,500 km,,,ADA,0,,0,deny,manual,345,,FALSCH,WAHR
,,,10764,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,9 Monate,,1000 km,,,ADA,0,,0,deny,manual,364,,FALSCH,WAHR
,,,10607,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,9 Monate,,1500 km,,,ADA,0,,0,deny,manual,383,,FALSCH,WAHR
,,,10450,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,9 Monate,,2000 km,,,ADA,0,,0,deny,manual,403,,FALSCH,WAHR
,,,10292,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,9 Monate,,2500 km,,,ADA,0,,0,deny,manual,422,,FALSCH,WAHR
,,,10794,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,10 Monate,,500 km,,,ADA,0,,0,deny,manual,341,,FALSCH,WAHR
,,,10620,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,10 Monate,,1000 km,,,ADA,0,,0,deny,manual,360,,FALSCH,WAHR
,,,10445,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,10 Monate,,1500 km,,,ADA,0,,0,deny,manual,379,,FALSCH,WAHR
,,,10270,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,10 Monate,,2000 km,,,ADA,0,,0,deny,manual,399,,FALSCH,WAHR
,,,10095,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,10 Monate,,2500 km,,,ADA,0,,0,deny,manual,418,,FALSCH,WAHR
,,,10667,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,11 Monate,,500 km,,,ADA,0,,0,deny,manual,338,,FALSCH,WAHR
,,,10475,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,11 Monate,,1000 km,,,ADA,0,,0,deny,manual,357,,FALSCH,WAHR
,,,10282,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,11 Monate,,1500 km,,,ADA,0,,0,deny,manual,376,,FALSCH,WAHR
,,,10090,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,11 Monate,,2000 km,,,ADA,0,,0,deny,manual,396,,FALSCH,WAHR
,,,9898,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,11 Monate,,2500 km,,,ADA,0,,0,deny,manual,415,,FALSCH,WAHR
,,,10540,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,12 Monate,,500 km,,,ADA,0,,0,deny,manual,335,,FALSCH,WAHR
,,,10330,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,12 Monate,,1000 km,,,ADA,0,,0,deny,manual,354,,FALSCH,WAHR
,,,10120,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,12 Monate,,1500 km,,,ADA,0,,0,deny,manual,374,,FALSCH,WAHR
,,,9910,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,12 Monate,,2000 km,,,ADA,0,,0,deny,manual,393,,FALSCH,WAHR
,,,9700,Opel-Adam-1.2-GNTM-Klima-PDC-Sitzheizung-IntelliLink-,,,,,,,,12 Monate,,2500 km,,,ADA,0,,0,deny,manual,412,,FALSCH,WAHR
Schachtschneider Automobile e.K.,"Ulmenstr. 4
14482 Potsdam
Deutschland",9390,10443,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,Opel Adam 1.2 Jam IntelliLink USB Bluetooth Klima,"<p>
<strong>Abholadresse</strong>
Ulmenstr. 4
14482 Potsdam
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kleinwagen<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
17.441 km<br>
<strong>Hubraum</strong>
1.229 cm³<br>
<strong>Leistung</strong>
51 kW (69 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 5,3 l/100km (kombiniert)<br>
ca. 7,3 l/100km (innerorts)<br>
ca. 4,3 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 125 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
2/3<br>
<strong>Anzahl Sitzplätze</strong>
4<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
08/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaanlage<br>
<strong>Farbe (Hersteller)</strong>
Lilac Silver<br>
<strong>Farbe</strong>
Silber Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Android Auto, Apple CarPlay, Berganfahrassistent, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Isofix, Lederlenkrad, Leichtmetallfelgen, Multifunktionslenkrad, Pannenkit, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sprachsteuerung, Tagfahrlicht, Tempomat, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Opel,,"Marke_Opel, Typ_Kleinwagen, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_bis 70 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Silber, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Mittel (200 bis 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,368,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/7bIAAOSw8nlfGtW5/$_27.JPG,1,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/OQMAAOSwYaNfGtW5/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/tp0AAOSwu~5fGtW5/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/OrcAAOSwGVNfGtW5/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/qg4AAOSwQwRfGtW5/$_27.JPG,5,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/iMcAAOSw9B9fGtW5/$_27.JPG,6,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/iJMAAOSwBLNfGtW5/$_27.JPG,7,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/PS0AAOSwdytfGtW5/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/9C8AAOSwHfpfGtW5/$_27.JPG,9,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/d64AAOSwvCtfGtW5/$_27.JPG,10,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/nsEAAOSwoRtfGtW5/$_27.JPG,11,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/7bIAAOSw8nlfGtW5/$_27.JPG,12,,,,,,,,,,,,,,,,,,,nil
,,,10396,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,385,,FALSCH,WAHR
,,,10349,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,402,,FALSCH,WAHR
,,,10302,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,419,,FALSCH,WAHR
,,,10255,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,437,,FALSCH,WAHR
,,,10327,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,348,,FALSCH,WAHR
,,,10264,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,365,,FALSCH,WAHR
,,,10202,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,382,,FALSCH,WAHR
,,,10139,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,399,,FALSCH,WAHR
,,,10076,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,417,,FALSCH,WAHR
,,,10210,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,336,,FALSCH,WAHR
,,,10132,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,353,,FALSCH,WAHR
,,,10054,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,370,,FALSCH,WAHR
,,,9976,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,388,,FALSCH,WAHR
,,,9897,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,405,,FALSCH,WAHR
,,,10094,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,328,,FALSCH,WAHR
,,,10000,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,345,,FALSCH,WAHR
,,,9906,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,362,,FALSCH,WAHR
,,,9812,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,380,,FALSCH,WAHR
,,,9718,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,415,,FALSCH,WAHR
,,,9978,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,338,,FALSCH,WAHR
,,,9868,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,355,,FALSCH,WAHR
,,,9759,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,372,,FALSCH,WAHR
,,,9649,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,390,,FALSCH,WAHR
,,,9539,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,407,,FALSCH,WAHR
,,,9861,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,332,,FALSCH,WAHR
,,,9736,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,8 Monate,,1000 km,,,ADA,0,,0,deny,manual,349,,FALSCH,WAHR
,,,9611,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,8 Monate,,1500 km,,,ADA,0,,0,deny,manual,366,,FALSCH,WAHR
,,,9486,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,8 Monate,,2000 km,,,ADA,0,,0,deny,manual,383,,FALSCH,WAHR
,,,9360,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,8 Monate,,2500 km,,,ADA,0,,0,deny,manual,401,,FALSCH,WAHR
,,,9745,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,9 Monate,,500 km,,,ADA,0,,0,deny,manual,327,,FALSCH,WAHR
,,,9604,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,9 Monate,,1000 km,,,ADA,0,,0,deny,manual,344,,FALSCH,WAHR
,,,9463,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,9 Monate,,1500 km,,,ADA,0,,0,deny,manual,361,,FALSCH,WAHR
,,,9322,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,9 Monate,,2000 km,,,ADA,0,,0,deny,manual,379,,FALSCH,WAHR
,,,9181,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,9 Monate,,2500 km,,,ADA,0,,0,deny,manual,396,,FALSCH,WAHR
,,,9628,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,10 Monate,,500 km,,,ADA,0,,0,deny,manual,323,,FALSCH,WAHR
,,,9472,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,10 Monate,,1000 km,,,ADA,0,,0,deny,manual,340,,FALSCH,WAHR
,,,9315,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,10 Monate,,1500 km,,,ADA,0,,0,deny,manual,357,,FALSCH,WAHR
,,,9159,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,10 Monate,,2000 km,,,ADA,0,,0,deny,manual,375,,FALSCH,WAHR
,,,9002,Opel-Adam-1.2-Jam-IntelliLink-USB-Bluetooth-Klima,,,,,,,,10 Monate,,2500 km,,,ADA,0,,0,deny,manual,392,,FALSCH,WAHR
