Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Koch GmbH,"Marzahner Chaussee 219
12681 Berlin
Deutschland",10950,10454,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,Mazda 2 1.5l SKY-G 75PS Center -Line SHZ PDC Tempomat,"<p>
<strong>Abholadresse</strong>
Marzahner Chaussee 219
12681 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Limousine<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
35.000 km<br>
<strong>Hubraum</strong>
1.496 cm³<br>
<strong>Leistung</strong>
55 kW (75 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 4,7 l/100km (kombiniert)<br>
ca. 6,1 l/100km (innerorts)<br>
ca. 3,9 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 111 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
08/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaanlage<br>
<strong>Farbe (Hersteller)</strong>
Onyxschwarz<br>
<strong>Farbe</strong>
Schwarz Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Berganfahrassistent, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Isofix, Lederlenkrad, Lichtsensor, Multifunktionslenkrad, Musikstreaming integriert, Nichtraucher-Fahrzeug, Pannenkit, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sprachsteuerung, Stahlfelgen, Start/Stopp-Automatik, Tagfahrlicht, Tempomat, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Mazda,,"Marke_Mazda, Typ_Limousine, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_70 bis 100 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Schwarz, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,409,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/cPYAAOSwhj9fQAAc/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/EzQAAOSwPf5fQAAX/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/sJgAAOSwpRxfQAAX/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/qv4AAOSwNxZfQAAX/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/aR8AAOSwcwJfQAAX/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/~IoAAOSwD~FfQAAX/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/dDUAAOSwfZVfQAAX/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/2LIAAOSwhXBfQAAX/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ykoAAOSw0ntfQAAZ/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/hOIAAOSw6RBfQAAZ/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/YwEAAOSwhnNfQAAX/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/yFoAAOSwmzFfQAAX/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/IUYAAOSwG-dfQAAX/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/I8IAAOSwnxlfQAAY/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/mXMAAOSwl5dfQAAZ/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/cPYAAOSwhj9fQAAc/$_27.JPG,16,,,,,,,,,,,nil
,,,10399,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,429,,FALSCH,WAHR
,,,10345,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,449,,FALSCH,WAHR
,,,10290,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,469,,FALSCH,WAHR
,,,10235,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,489,,FALSCH,WAHR
,,,10322,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,389,,FALSCH,WAHR
,,,10249,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,409,,FALSCH,WAHR
,,,10176,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,429,,FALSCH,WAHR
,,,10103,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,449,,FALSCH,WAHR
,,,10030,Mazda-2-1.5l-SKY-G-75PS-Center--Line-SHZ-PDC-Tempomat,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,469,,FALSCH,WAHR
