Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autoforum Koch GmbH,"Marzahner Chaussee 219
12681 Berlin
Deutschland",17990,17283,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,MINI Countryman John Cooper Works 1 6l Automatik C,"<p>
<strong>Abholadresse</strong>
Marzahner Chaussee 219
12681 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
SUV / Geländewagen / Pickup<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
56.300 km<br>
<strong>Hubraum</strong>
1.598 cm³<br>
<strong>Leistung</strong>
160 kW (218 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 7,9 l/100km (kombiniert)<br>
ca. 10,7 l/100km (innerorts)<br>
ca. 6,3 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 184 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
4<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro5<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
02/2014<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Absolute Black Metallic<br>
<strong>Farbe</strong>
Schwarz Metallic<br>
<strong>Innenausstattung</strong>
Vollleder, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Adaptives Kurvenlicht, Alarmanlage, Allradantrieb, Armlehne, Beheizbare Frontscheibe, Berganfahrassistent, Bi-Xenon Scheinwerfer, Bluetooth, Bordcomputer, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Schlüssellose Zentralverriegelung, Servolenkung, Sitzheizung, Sportfahrwerk, Sportsitze, Sprachsteuerung, Start/Stopp-Automatik, Tagfahrlicht, Tempomat, Traktionskontrolle, Tuner/Radio, Zentralverriegelung
</p>",MINI,,"Marke_MINI, Typ_SUV, Alter_Alle, Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_Alle, Schaltung_Automatik, Farbe_Schwarz, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,599,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/SZEAAOSwIOheuYmW/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/uN4AAOSw5WReHgp5/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/g48AAOSw61BeHgp4/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/SZEAAOSwIOheuYmW/$_27.JPG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil
,,,17193,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,632,,FALSCH,WAHR
,,,17103,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,665,,FALSCH,WAHR
,,,17013,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,699,,FALSCH,WAHR
,,,16923,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,732,,FALSCH,WAHR
,,,17080,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,579,,FALSCH,WAHR
,,,16960,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,612,,FALSCH,WAHR
,,,16841,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,646,,FALSCH,WAHR
,,,16721,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,679,,FALSCH,WAHR
,,,16601,MINI-Countryman-John-Cooper-Works-1-6l-Automatik-C,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,712,,FALSCH,WAHR
