Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autocenter Koch GmbH,"Alt-Biesdorf 36
12683 Berlin
Deutschland",16950,16274,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,Volvo V40 D3 Momentum Aut Navi LED Cam PDC vo   hi,"<p>
<strong>Abholadresse</strong>
Alt-Biesdorf 36
12683 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
<br>
<strong>Kategorie</strong>
Kombi<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
46.350 km<br>
<strong>Hubraum</strong>
1.969 cm³<br>
<strong>Leistung</strong>
110 kW (150 PS)<br>
<strong>Kraftstoffart</strong>
Diesel<br>
<strong>Verbrauch</strong><br>
ca. 4,0 l/100km (kombiniert)<br>
ca. 4,6 l/100km (innerorts)<br>
ca. 3,7 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 104 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
12/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Osmium Grau 714<br>
<strong>Farbe</strong>
Grau Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Ambiente-Beleuchtung, Armlehne, Beheizbare Frontscheibe, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Fernlichtassistent, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, LED-Scheinwerfer, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nichtraucher-Fahrzeug, Pannenkit, Partikelfilter, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Servolenkung, Sitzheizung, Sommerreifen, Soundsystem, Sprachsteuerung, Start/Stopp-Automatik, Tempomat, Tuner/Radio, Umklappbarer Beifahrersitz, USB, Volldigitales Kombiinstrument, Winterpaket, Zentralverriegelung
</p>",Volvo,,"Marke_Volvo, Typ_Kombi, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_Alle, Schaltung_Automatik, Farbe_Grau, Kraftstoff_Diesel, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,553,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/fngAAOSwb65ey~2H/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/rNIAAOSwAJxey~2H/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/NVEAAOSwtGRey~2H/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/XIsAAOSwrFtey~2H/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/OCIAAOSwvhtey~2H/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/-TMAAOSwYcRey~2H/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/4CUAAOSwzINey~2H/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/HNYAAOSwMTZey~2H/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/1U0AAOSwLsRey~2H/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/I34AAOSwhYhey~2H/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/o84AAOSwmZdey~2H/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/HeYAAOSw9CNey~2H/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/WhcAAOSwVOtey~2H/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/0nMAAOSwgM5ey~2H/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/6LkAAOSwXQRey~2H/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/fngAAOSwb65ey~2H/$_27.JPG,16,,,,,,,,,,,nil
,,,16189,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,584,,FALSCH,WAHR
,,,16105,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,615,,FALSCH,WAHR
,,,16020,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,646,,FALSCH,WAHR
,,,15935,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,677,,FALSCH,WAHR
,,,16082,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,533,,FALSCH,WAHR
,,,15969,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,564,,FALSCH,WAHR
,,,15856,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,595,,FALSCH,WAHR
,,,15743,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,626,,FALSCH,WAHR
,,,15630,Volvo-V40-D3-Momentum-Aut-Navi-LED-Cam-PDC-vo---hi,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,657,,FALSCH,WAHR
