Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autocenter Koch GmbH,"Feldstraße 6
16356 Ahrensfelde
Deutschland",14950,14334,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,Jeep Renegade 1.6 E-torQ Longitude PDC Klima 4Season,"<p>
<strong>Abholadresse</strong>
Feldstraße 6
16356 Ahrensfelde
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
SUV / Geländewagen / Pickup<br>
<strong>Herkunft</strong>
<br>
<strong>Kilometerstand</strong>
33.800 km<br>
<strong>Hubraum</strong>
1.598 cm³<br>
<strong>Leistung</strong>
81 kW (110 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 6,1 l/100km (kombiniert)<br>
ca. 7,8 l/100km (innerorts)<br>
ca. 5,0 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 145 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
04/2017<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaanlage<br>
<strong>Farbe (Hersteller)</strong>
Alpine White<br>
<strong>Farbe</strong>
Weiß<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Allwetterreifen, Armlehne, Berganfahrassistent, Bluetooth, Bordcomputer, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Isofix, Lederlenkrad, Leichtmetallfelgen, Multifunktionslenkrad, Musikstreaming integriert, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Pannenkit, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sprachsteuerung, Start/Stopp-Automatik, Tempomat, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Jeep,,"Marke_Jeep, Typ_SUV, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Weiß, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,496,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/qTcAAOSwPgFfPAwL/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/xu0AAOSwxYNfPAwM/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/z9YAAOSweu1fPAwL/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/JL8AAOSwKX9fPAwL/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/6a4AAOSwowhfPAwL/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/~qEAAOSwBtNfPAwM/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Mr4AAOSw6aRfPAwL/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/1QcAAOSwGMVfPAwM/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/P8wAAOSwhkpfPAwL/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/wEwAAOSwGYNfPAwL/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/zToAAOSwrAJfPAwL/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/VYwAAOSwWd5fPAwL/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/9KcAAOSwHKZfPAwL/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/5H4AAOSwY-ZfPAwN/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/sGUAAOSwAhtfPAwL/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/qTcAAOSwPgFfPAwL/$_27.JPG,16,,,,,,,,,,,nil
,,,14259,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,524,,FALSCH,WAHR
,,,14185,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,551,,FALSCH,WAHR
,,,14110,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,579,,FALSCH,WAHR
,,,14035,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,606,,FALSCH,WAHR
,,,14162,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,476,,FALSCH,WAHR
,,,14062,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,504,,FALSCH,WAHR
,,,13963,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,531,,FALSCH,WAHR
,,,13863,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,559,,FALSCH,WAHR
,,,13763,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,586,,FALSCH,WAHR
,,,13990,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,464,,FALSCH,WAHR
,,,13865,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,492,,FALSCH,WAHR
,,,13741,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,519,,FALSCH,WAHR
,,,13616,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,547,,FALSCH,WAHR
,,,13492,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,574,,FALSCH,WAHR
,,,13818,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,456,,FALSCH,WAHR
,,,13669,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,484,,FALSCH,WAHR
,,,13519,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,511,,FALSCH,WAHR
,,,13370,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,539,,FALSCH,WAHR
,,,13220,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,585,,FALSCH,WAHR
,,,13646,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,466,,FALSCH,WAHR
,,,13472,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,494,,FALSCH,WAHR
,,,13297,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,521,,FALSCH,WAHR
,,,13123,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,549,,FALSCH,WAHR
,,,12948,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,576,,FALSCH,WAHR
,,,13474,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,460,,FALSCH,WAHR
,,,13275,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,8 Monate,,1000 km,,,ADA,0,,0,deny,manual,488,,FALSCH,WAHR
,,,13075,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,8 Monate,,1500 km,,,ADA,0,,0,deny,manual,515,,FALSCH,WAHR
,,,12876,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,8 Monate,,2000 km,,,ADA,0,,0,deny,manual,543,,FALSCH,WAHR
,,,12677,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,8 Monate,,2500 km,,,ADA,0,,0,deny,manual,570,,FALSCH,WAHR
,,,13302,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,9 Monate,,500 km,,,ADA,0,,0,deny,manual,455,,FALSCH,WAHR
,,,13078,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,9 Monate,,1000 km,,,ADA,0,,0,deny,manual,483,,FALSCH,WAHR
,,,12854,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,9 Monate,,1500 km,,,ADA,0,,0,deny,manual,510,,FALSCH,WAHR
,,,12629,Jeep-Renegade-1.6-E-torQ-Longitude-PDC-Klima-4Season,,,,,,,,9 Monate,,2000 km,,,ADA,0,,0,deny,manual,538,,FALSCH,WAHR
