Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autocenter Koch GmbH,"Huttenstraße 50
10553 Berlin
Deutschland",22950,22094,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,MINI COUNTRYMAN Cooper ALL4 Allrad Navi Tempomat SHZ,"<p>
<strong>Abholadresse</strong>
Huttenstraße 50
10553 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
SUV / Geländewagen / Pickup<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
11.614 km<br>
<strong>Hubraum</strong>
1.499 cm³<br>
<strong>Leistung</strong>
100 kW (136 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 6,0 l/100km (kombiniert)<br>
ca. 7,1 l/100km (innerorts)<br>
ca. 5,3 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 136 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
04/2018<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
04/2021<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
British Racing Green<br>
<strong>Farbe</strong>
Grün Metallic<br>
<strong>Innenausstattung</strong>
Teilleder, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandswarner, Allradantrieb, Bluetooth, Bordcomputer, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Isofix, Leichtmetallfelgen, Lichtsensor, Multifunktionslenkrad, Navigationssystem, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Notrufsystem, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sportsitze, Start/Stopp-Automatik, Tagfahrlicht, Tempomat, Traktionskontrolle, Tuner/Radio, Zentralverriegelung
</p>",MINI,,"Marke_MINI, Typ_SUV, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Grün, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,641,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/aH4AAOSwGY5fJFBW/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ZVAAAOSwtZ1fJFBX/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/lJAAAOSweyxfJFBW/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/H90AAOSwAmNfJFBW/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/IBUAAOSwhC9fJFBW/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/NFUAAOSwvn5fJFBW/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/tNcAAOSwqa9fJFBW/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/PacAAOSwNZRfJFBW/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/13YAAOSwGKRfJFBW/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/NQYAAOSwAi9fJFBW/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/8lIAAOSwbVJfJFBW/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/gyEAAOSwA8VfJFBW/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/vfkAAOSwQs1fJFBW/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/BIoAAOSwTFJfJFBW/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Sy0AAOSw0n5fJFBW/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/aH4AAOSwGY5fJFBW/$_27.JPG,16,,,,,,,,,,,nil
,,,21979,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,683,,FALSCH,WAHR
,,,21865,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,725,,FALSCH,WAHR
,,,21750,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,768,,FALSCH,WAHR
,,,21635,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,810,,FALSCH,WAHR
,,,21842,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,621,,FALSCH,WAHR
,,,21689,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,663,,FALSCH,WAHR
,,,21536,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,705,,FALSCH,WAHR
,,,21383,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,748,,FALSCH,WAHR
,,,21230,MINI-COUNTRYMAN-Cooper-ALL4-Allrad-Navi-Tempomat-SHZ,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,790,,FALSCH,WAHR
