Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Körner GmbH,"Walsheimer Str. 2 - 24
12683 Berlin
Deutschland",17900,17196,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,Hyundai IONIQ HYBRID PREMIUM NAVI SHZ BLUETOOTH LEDER ,"<p>
<strong>Abholadresse</strong>
Walsheimer Str. 2 - 24
12683 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
<br>
<strong>Kategorie</strong>
Limousine<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
49.589 km<br>
<strong>Hubraum</strong>
1.580 cm³<br>
<strong>Leistung</strong>
104 kW (141 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 4,2 l/100km (kombiniert)<br>
ca. 3,9 l/100km (innerorts)<br>
ca. 3,9 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 92 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
09/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
2<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Polar White / SOL (weiß)<br>
<strong>Farbe</strong>
Weiß<br>
<strong>Innenausstattung</strong>
Vollleder, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandstempomat, Abstandswarner, Alarmanlage, Android Auto, Apple CarPlay, Armlehne, Beheizbares Lenkrad, Berganfahrassistent, Bi-Xenon Scheinwerfer, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Sitzeinstellung, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Gepäckraumabtrennung, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Multifunktionslenkrad, Navigationssystem, Nichtraucher-Fahrzeug, Notbremsassistent, Pannenkit, Radio DAB, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Schlüssellose Zentralverriegelung, Servolenkung, Sitzbelüftung, Sitzheizung, Sitzheizung hinten, Sommerreifen, Soundsystem, Sprachsteuerung, Spurhalteassistent, Totwinkel-Assistent, Touchscreen, Tuner/Radio, USB, Verkehrszeichenerkennung, Zentralverriegelung
</p>",Hyundai,,"Marke_Hyundai, Typ_Limousine, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Weiß, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,549,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY3WDEwMjI=/z/WC8AAOSwTEteMCCi/$_27.JPG,1,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/fRoAAOSwilNeMCCl/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/sM8AAOSwQOFeMCCp/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/pd0AAOSwOeBeMCCs/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/U7kAAOSw1kxeMCCv/$_27.JPG,5,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/ZwcAAOSwf9teMCCy/$_27.JPG,6,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/BF4AAOSwvudeMCC1/$_27.JPG,7,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/FQwAAOSw6UNeMCC3/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/SOoAAOSwEcReMCC6/$_27.JPG,9,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/hSMAAOSwLWBeMCC9/$_27.JPG,10,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/ki8AAOSwndFeMCDA/$_27.JPG,11,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/I~YAAOSwRY1eMCDD/$_27.JPG,12,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/4DsAAOSwPkheMCDG/$_27.JPG,13,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/jIgAAOSwTXVeMCDJ/$_27.JPG,14,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/kakAAOSwszVeMCDM/$_27.JPG,15,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/QX0AAOSwmXteMCDP/$_27.JPG,16,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/cG4AAOSwuJFeMCDS/$_27.JPG,17,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/6-UAAOSwfeheMCDW/$_27.JPG,18,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/dnIAAOSwcABeMCDd/$_27.JPG,19,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YiQAAOSwBTleMCDg/$_27.JPG,20,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YWEAAOSwjONeMCDk/$_27.JPG,21,nil
,,,17106,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,582,,FALSCH,WAHR
,,,17017,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,615,,FALSCH,WAHR
,,,16927,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,648,,FALSCH,WAHR
,,,16838,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,681,,FALSCH,WAHR
,,,16994,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,529,,FALSCH,WAHR
,,,16875,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,562,,FALSCH,WAHR
,,,16755,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,595,,FALSCH,WAHR
,,,16636,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,628,,FALSCH,WAHR
,,,16517,Hyundai-IONIQ-HYBRID-PREMIUM-NAVI-SHZ-BLUETOOTH-LEDER-,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,661,,FALSCH,WAHR
