Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Dallgow GmbH,"Wilmsstrasse 120
14624 Dallgow-Döberitz
Deutschland",21190,20387,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,Audi A3 Sportback 1.0 TFSI   Xenon   Navi   PDCv h   ,"<p>
<strong>Abholadresse</strong>
Wilmsstrasse 120
14624 Dallgow-Döberitz
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Reparierter Unfallschaden<br>
<strong>Kategorie</strong>
Limousine<br>
<strong>Herkunft</strong>
<br>
<strong>Kilometerstand</strong>
28.614 km<br>
<strong>Hubraum</strong>
999 cm³<br>
<strong>Leistung</strong>
85 kW (116 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 4,5 l/100km (kombiniert)<br>
ca. 5,4 l/100km (innerorts)<br>
ca. 4,0 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 104 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
04/2018<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
04/2020<br>
<strong>Klimatisierung</strong>
Klimaanlage<br>
<strong>Farbe (Hersteller)</strong>
Florettsilber<br>
<strong>Farbe</strong>
Silber Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Armlehne, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Isofix, Lederlenkrad, Lichtsensor, Lordosenstütze, Multifunktionslenkrad, Navigationssystem, Nichtraucher-Fahrzeug, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Servolenkung, Sitzheizung, Start/Stopp-Automatik, Tagfahrlicht, Tempomat, Traktionskontrolle, Tuner/Radio, USB, Xenonscheinwerfer, Zentralverriegelung
</p>",Audi,,"Marke_Audi, Typ_Limousine, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Silber, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,588,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/GCwAAOSwcK5e0Tg9/$_27.JPG,1,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/qkEAAOSwygte0Tg8/$_27.JPG,2,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/Yl0AAOSwhIRe0Tg9/$_27.JPG,3,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/A3QAAOSwX2xe0Tg9/$_27.JPG,4,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/2vcAAOSwCORe0Tg8/$_27.JPG,5,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/jBwAAOSwTzte0Tg9/$_27.JPG,6,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/r7gAAOSwjDJe0Tg8/$_27.JPG,7,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/BMIAAOSwgbte0Tg8/$_27.JPG,8,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/mS0AAOSwFLpe0Tg8/$_27.JPG,9,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/sPIAAOSwZUle0Tg9/$_27.JPG,10,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/hwIAAOSw3C5e0Tg9/$_27.JPG,11,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/ijgAAOSwG0Fe0Tg9/$_27.JPG,12,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/8ZIAAOSw55Je0Tg8/$_27.JPG,13,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/nMwAAOSwmaBe0Tg8/$_27.JPG,14,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/6E0AAOSwDcNe0Tg8/$_27.JPG,15,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/XhoAAOSwZI1e0Tg8/$_27.JPG,16,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/hp4AAOSw1BxeUTcW/$_27.JPG,17,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/C~wAAOSwtQxeUTcX/$_27.JPG,18,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/GCwAAOSwcK5e0Tg9/$_27.JPG,19,,,,,nil
,,,20281,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,627,,FALSCH,WAHR
,,,20175,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,666,,FALSCH,WAHR
,,,20069,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,705,,FALSCH,WAHR
,,,19963,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,744,,FALSCH,WAHR
,,,20152,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,568,,FALSCH,WAHR
,,,20011,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,607,,FALSCH,WAHR
,,,19870,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,646,,FALSCH,WAHR
,,,19729,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,685,,FALSCH,WAHR
,,,19587,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,724,,FALSCH,WAHR
