Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
ASP Autosalon Berlin GmbH,"Brunsbütteler Damm 102
13581 Berlin
Deutschland",20480,19698,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,Audi A4 2.0 TDI clean diesel Ambition quattro S-LINE,"<p>
<strong>Abholadresse</strong>
Brunsbütteler Damm 102
13581 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
<br>
<strong>Kategorie</strong>
Kombi<br>
<strong>Herkunft</strong>
<br>
<strong>Kilometerstand</strong>
57.000 km<br>
<strong>Hubraum</strong>
1.968 cm³<br>
<strong>Leistung</strong>
140 kW (190 PS)<br>
<strong>Kraftstoffart</strong>
Diesel<br>
<strong>Verbrauch</strong><br>
ca. 5,2 l/100km (kombiniert)<br>
ca. 6,1 l/100km (innerorts)<br>
ca. 4,7 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 137 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
05/2015<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
3-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Lavagrau Perleffekt<br>
<strong>Farbe</strong>
Grau Metallic<br>
<strong>Innenausstattung</strong>
Stoff<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Allradantrieb, Ambiente-Beleuchtung, Armlehne, Berganfahrassistent, Blendfreies Fernlicht, Bluetooth, Bordcomputer, CD-Spieler, Dachreling, Elektr. Fensterheber, Elektr. Heckklappe, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Fernlichtassistent, Freisprecheinrichtung, Garantie, Gepäckraumabtrennung, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, Kurvenlicht, Lederlenkrad, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Notbremsassistent, Panorama-Dach, Partikelfilter, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Schiebedach, Schlüssellose Zentralverriegelung, Servolenkung, Sitzheizung, Soundsystem, Sportfahrwerk, Sportpaket, Sportsitze, Sprachsteuerung, Start/Stopp-Automatik, Tagfahrlicht, Tempomat, Traktionskontrolle, Tuner/Radio, USB, WLAN / Wifi Hotspot, Xenonscheinwerfer, Zentralverriegelung
</p>",Audi,,"Marke_Audi, Typ_Kombi, Alter_Alle, Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_150 bis 200 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Grau, Kraftstoff_Diesel, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,647,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/iykAAOSwblldTCfz/$_27.JPG,1,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/ybMAAOSwotNdTCfz/$_27.JPG,2,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/TLoAAOSwrHRdTCfz/$_27.JPG,3,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/AEEAAOSwsJRdTCf1/$_27.JPG,4,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/lYwAAOSwfI1dTCfz/$_27.JPG,5,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/9ZkAAOSw69ddTCfz/$_27.JPG,6,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/MzwAAOSwAQhdTCfz/$_27.JPG,7,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/~-kAAOSwJ6JdTCfz/$_27.JPG,8,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/3OoAAOSw45VdTCfz/$_27.JPG,9,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/imcAAOSwUYhdTCfz/$_27.JPG,10,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/4dAAAOSwdb1dTCfz/$_27.JPG,11,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/2eoAAOSwaSddTCfz/$_27.JPG,12,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/AgkAAOSw7pldTCfz/$_27.JPG,13,https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/iykAAOSwblldTCfz/$_27.JPG,14,,,,,,,,,,,,,,,nil
,,,19596,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,684,,FALSCH,WAHR
,,,19493,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,722,,FALSCH,WAHR
,,,19391,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,760,,FALSCH,WAHR
,,,19289,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,797,,FALSCH,WAHR
,,,19471,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,627,,FALSCH,WAHR
,,,19334,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,664,,FALSCH,WAHR
,,,19198,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,702,,FALSCH,WAHR
,,,19061,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,740,,FALSCH,WAHR
,,,18925,Audi-A4-2.0-TDI-clean-diesel-Ambition-quattro-S-LINE,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,777,,FALSCH,WAHR
