Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Gerhard Kockjoy GmbH,"Potsdamer Straße 51-52
14469 Potsdam
Deutschland",18850,18117,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,Citroën Berlingo M PT 110 FEEL  Klimaautom.  PDC  Mirror,"<p>
<strong>Abholadresse</strong>
Potsdamer Straße 51-52
14469 Potsdam
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kombi<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
11.449 km<br>
<strong>Hubraum</strong>
1.199 cm³<br>
<strong>Leistung</strong>
81 kW (110 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 5,5 l/100km (kombiniert)<br>
ca. 6,3 l/100km (innerorts)<br>
ca. 5,0 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 170 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6d<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
05/2019<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Polar-Weiß<br>
<strong>Farbe</strong>
Weiß<br>
<strong>Innenausstattung</strong>
Stoff, Grau<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandswarner, Android Auto, Apple CarPlay, Armlehne, Bluetooth, Bordcomputer, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Garantie, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, LED-Tagfahrlicht, Lichtsensor, Lordosenstütze, Müdigkeitswarner, Multifunktionslenkrad, Nebelscheinwerfer, Notbremsassistent, Pannenkit, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Spurhalteassistent, Stahlfelgen, Tempomat, Touchscreen, Tuner/Radio, USB, Zentralverriegelung
</p>",Citroën,,"Marke_Citroën, Typ_Kombi, Alter_maximal 2 Jahre,Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Weiß, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,564,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/kbAAAOSwr2RfKs03/$_27.JPG,1,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/HtYAAOSwkldfKs04/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/AzcAAOSweClfKs04/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/aJ8AAOSwYy9fKs03/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/ljwAAOSwFZBfKs03/$_27.JPG,5,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/QaAAAOSwNs5fKs03/$_27.JPG,6,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/XR8AAOSwh3VfKs04/$_27.JPG,7,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/l4QAAOSwBHlfKs03/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/uXoAAOSw9INfKs04/$_27.JPG,9,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Zo8AAOSwVjJfKs03/$_27.JPG,10,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/gD4AAOSw38dfKs05/$_27.JPG,11,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/pfoAAOSwFzRfKs04/$_27.JPG,12,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/GCMAAOSwHfpfKs03/$_27.JPG,13,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/~tkAAOSwCntfKs03/$_27.JPG,14,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/G00AAOSw4vZfKs04/$_27.JPG,15,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Hd4AAOSw6d9fKs03/$_27.JPG,16,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/eXQAAOSwjQRfKs04/$_27.JPG,17,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Ia4AAOSw3dVfKs03/$_27.JPG,18,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/xX4AAOSwtjdfKs03/$_27.JPG,19,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/HN0AAOSws6tfKs03/$_27.JPG,20,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/kbAAAOSwr2RfKs03/$_27.JPG,21
,,,18023,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,599,,FALSCH,WAHR
,,,17929,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,634,,FALSCH,WAHR
,,,17834,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,668,,FALSCH,WAHR
,,,17740,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,703,,FALSCH,WAHR
,,,17780,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,579,,FALSCH,WAHR
,,,17655,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,614,,FALSCH,WAHR
,,,17529,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,649,,FALSCH,WAHR
,,,17403,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,683,,FALSCH,WAHR
,,,17538,Citroën-Berlingo-M-PT-110-FEEL--Klimaautom.--PDC--Mirror,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,567,,FALSCH,WAHR
