title,price,damage_condition,category,country_version,consumption,mileage,cubic_capacity,power,fuel,emission,num_owners,num_seats,door_count,transmission,emission_class,emssion_sticker,first_registration,hu,climatisation,construction_year,park_assist,airbag,manufacturer_color_name,color,interior,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,features,dealer_name,dealer_postal_code,dealer_city,dealer_address,dealer_phone,dealer_rating,dealer_quantity_ratings,publishing_date
"BMW X3 xDrive20i 1.Hand, 19000 KM, Euro 6 !",15.980 €,Unfallfrei,SUV / Geländewagen / Pickup,Deutsche Ausführung,"ca. 7,9 l/100km (kombiniert)
ca. 9,9 l/100km (innerorts)
ca. 6,7 l/100km (außerorts)",19.000 km,1.997 cm³,135 kW (184 PS),"Benzin, E10-geeignet",ca. 184 g/km (kombiniert),1,5,4/5,Schaltgetriebe,Euro6,4 (Grün),08/2013,,Klimaautomatik,,,"Front-, Seiten- und weitere Airbags",Spacegraumet,Grau Metallic,,https://i.ebayimg.com/00/s/NzI3WDE2MDA=/z/YNQAAOSw1tVeg0xQ/$_57.jpg,https://i.ebayimg.com/00/s/MTE3N1gxNjAw/z/TvcAAOSwyp5eg0xU/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/kiUAAOSw-bReg0xN/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/UVQAAOSwymteg0xF/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/fpMAAOSwbkleg0xJ/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ER8AAOSwwyFeg0xn/$_57.jpg,https://i.ebayimg.com/00/s/MTEwMFgxNjAw/z/J0UAAOSwBpteg0xj/$_57.jpg,https://i.ebayimg.com/00/s/NzE1WDE2MDA=/z/PsQAAOSw3yteg0xg/$_57.jpg,https://i.ebayimg.com/00/s/NzE1WDE2MDA=/z/PsQAAOSw3yteg0xg/$_57.jpg,https://i.ebayimg.com/00/s/MTAzNFgxNjAw/z/n-UAAOSw33Feg0xB/$_57.jpg,,,"ABS
Allradantrieb
Armlehne
Berganfahrassistent
Bordcomputer
CD-Spieler
Elektr. Fensterheber
Elektr. Heckklappe
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Garantie
Gepäckraumabtrennung
Innenspiegel autom. abblendend
Isofix
Lederlenkrad
Leichtmetallfelgen
Lichtsensor
Nebelscheinwerfer
Nichtraucher-Fahrzeug
Notbremsassistent
Pannenkit
Regensensor
Reifendruckkontrolle
Scheckheftgepflegt
Servolenkung
Sommerreifen
Start/Stopp-Automatik
Tagfahrlicht
Traktionskontrolle
Tuner/Radio
Zentralverriegelung",Autohaus WG Handels GmbH,82279,Eching am Ammersee,Greifenberger Str. 5a,+49 (0)89 8594131,4.1,27,07.04.2020
Hyundai i20 1.2 Intro Edition+SHZ+Klima+Tüv 03-22,4.990 €,Unfallfrei,Kleinwagen,,"ca. 4,9 l/100km (kombiniert)
ca. 6,1 l/100km (innerorts)
ca. 4,2 l/100km (außerorts)",66.000 km,1.248 cm³,63 kW (86 PS),Benzin,ca. 114 g/km (kombiniert),1,5,4/5,Schaltgetriebe,Euro5,4 (Grün),03/2013,03/2022,Klimaanlage,,,"Front-, Seiten- und weitere Airbags",,Grau Metallic,Stoff,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/XgUAAOSwPwVegZ2g/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CqYAAOSwkbZegZ2k/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/P-4AAOSwlztegZ2o/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/YRIAAOSw13hegZ2t/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/7ZQAAOSwccJegZ2x/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QS0AAOSw3SNegZ3N/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/iccAAOSwPO5egZ3Q/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/e6IAAOSwWc1egZ3U/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/e6IAAOSwWc1egZ3U/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/A6UAAOSw5eRegZ3d/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/GuIAAOSwcMNegZ3h/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/bJ8AAOSw3sNegZ3m/$_57.jpg,"ABS
Armlehne
Bluetooth
Bordcomputer
CD-Spieler
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Gepäckraumabtrennung
Isofix
Lederlenkrad
LED-Tagfahrlicht
Lichtsensor
Multifunktionslenkrad
Nebelscheinwerfer
Nichtraucher-Fahrzeug
Notrad
Regensensor
Scheckheftgepflegt
Servolenkung
Sitzheizung
Skisack
Sommerreifen
Soundsystem
Stahlfelgen
Traktionskontrolle
Tuner/Radio
USB
Winterpaket
Winterreifen
Zentralverriegelung",P&S Automobile,85570,Markt Schwaben,Geltingerstr.25,+49 (0)179 9023840,4.8,28,07.04.2020
Seat Leon ST 1.4 TSI 92kW Start&Stop Style Topaustat.,12.790 €,Unfallfrei,Kombi,Deutsche Ausführung,"ca. 5,2 l/100km (kombiniert)
ca. 6,7 l/100km (innerorts)
ca. 4,3 l/100km (außerorts)",28.000 km,1.395 cm³,92 kW (125 PS),"Benzin, E10-geeignet",ca. 120 g/km (kombiniert),1,5,4/5,Schaltgetriebe,Euro6,4 (Grün),07/2018,,Klimaautomatik,,"Vorne, Hinten","Front-, Seiten- und weitere Airbags",Uransilbermet,Silber Metallic,,https://i.ebayimg.com/00/s/NzE3WDE2MDA=/z/S5gAAOSw4HFeVlDW/$_57.jpg,https://i.ebayimg.com/00/s/MTA3MFgxNjAw/z/qMAAAOSwvXNeVlDZ/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/wRwAAOSwAlJeVlDl/$_57.jpg,https://i.ebayimg.com/00/s/OTk0WDE2MDA=/z/Y~EAAOSwA6heVlDd/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/890AAOSwU8ReVlDp/$_57.jpg,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/gL4AAOSwFLReVlDh/$_57.jpg,https://i.ebayimg.com/00/s/MTAyM1gxNjAw/z/goUAAOSw1txeVlD7/$_57.jpg,https://i.ebayimg.com/00/s/NjgzWDE2MDA=/z/oxgAAOSwmfReVlDz/$_57.jpg,https://i.ebayimg.com/00/s/NjgzWDE2MDA=/z/oxgAAOSwmfReVlDz/$_57.jpg,https://i.ebayimg.com/00/s/MTA1MVgxNjAw/z/8pMAAOSwmgBeVlDT/$_57.jpg,,,"ABS
Abstandswarner
Allwetterreifen
Armlehne
Berganfahrassistent
Bluetooth
Bordcomputer
CD-Spieler
Dachreling
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Geschwindigkeitsbegrenzer
Isofix
Kurvenlicht
Lederlenkrad
LED-Tagfahrlicht
Leichtmetallfelgen
Lichtsensor
Lordosenstütze
Multifunktionslenkrad
Navigationssystem
Nebelscheinwerfer
Nichtraucher-Fahrzeug
Notbremsassistent
Pannenkit
Regensensor
Reifendruckkontrolle
Scheckheftgepflegt
Servolenkung
Sitzheizung
Skisack
Sprachsteuerung
Start/Stopp-Automatik
Tempomat
Touchscreen
Traktionskontrolle
Tuner/Radio
USB
Winterpaket
Zentralverriegelung",Autohaus WG Handels GmbH,82279,Eching am Ammersee,Greifenberger Str. 5a,+49 (0)89 8594131,4.1,27,07.04.2020
Mercedes-Benz C 200 T 4M Ava Pano Comand MBeam Kamera AHK,31.989 €,Unfallfrei,"Kombi, Jahreswagen",Deutsche Ausführung,"ca. 7,1 l/100km (kombiniert)
ca. 9,2 l/100km (innerorts)
ca. 5,9 l/100km (außerorts)",26.299 km,1.497 cm³,135 kW (184 PS),"Benzin, E10-geeignet",ca. 179 g/km (kombiniert),1,5,4/5,Automatik,Euro6d-TEMP,4 (Grün),04/2019,Neu,Klimaautomatik,2019,"Vorne, Hinten, Kamera, Selbstlenkende Systeme","Front-, Seiten- und weitere Airbags",selenitgrau,Grau Metallic,"Teilleder, Schwarz",https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/PVIAAOSwUyZecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/TN0AAOSwTrZecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/R7sAAOSwaLxecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ORsAAOSwWepecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/G80AAOSwiuFecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/MakAAOSw-wVecEMc/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/BTEAAOSw37VecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/5TYAAOSwoYJecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/5TYAAOSwoYJecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/A7UAAOSw8j9ecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/PIkAAOSwG21ecEMb/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/vW8AAOSwoLFecEMb/$_57.jpg,"ABS
Adaptives Kurvenlicht
Allradantrieb
Ambiente-Beleuchtung
Android Auto
Anhängerkupplung schwenkbar
Apple CarPlay
Armlehne
Blendfreies Fernlicht
Bluetooth
Bordcomputer
CD-Spieler
Dachreling
Elektr. Fensterheber
Elektr. Heckklappe
Elektr. Seitenspiegel
Elektr. Sitzeinstellung
Elektr. Wegfahrsperre
ESP
Fernlichtassistent
Freisprecheinrichtung
Garantie
Isofix
Lederlenkrad
LED-Scheinwerfer
LED-Tagfahrlicht
Leichtmetallfelgen
Lichtsensor
Lordosenstütze
Multifunktionslenkrad
Navigationssystem
Nichtraucher-Fahrzeug
Notbremsassistent
Panorama-Dach
Partikelfilter
Radio DAB
Regensensor
Reifendruckkontrolle
Scheckheftgepflegt
Schiebedach
Servolenkung
Sitzheizung
Sportfahrwerk
Spurhalteassistent
Start/Stopp-Automatik
Tempomat
Totwinkel-Assistent
Traktionskontrolle
Tuner/Radio
Verkehrszeichenerkennung
Zentralverriegelung",Simon Gruber GmbH & Co.KG,85652,Landsham bei München,Erdinger Strasse 24,+49 (0)89 2488676121,4.6,82,07.04.2020
Mercedes-Benz A 35 4M Pano Webasto Distr. Burm Night Ambiente,45.950 €,Unfallfrei,"Limousine, Jahreswagen",Deutsche Ausführung,"ca. 7,4 l/100km (kombiniert)
ca. 9,5 l/100km (innerorts)
ca. 6,2 l/100km (außerorts)",10.285 km,1.991 cm³,225 kW (306 PS),"Benzin, E10-geeignet",ca. 169 g/km (kombiniert),1,5,4/5,Automatik,Euro6d-TEMP,4 (Grün),05/2019,Neu,Klimaautomatik,2019,"Vorne, Hinten, Kamera, Selbstlenkende Systeme","Front-, Seiten- und weitere Airbags",nachtschwarz,Schwarz,"Teilleder, Schwarz",https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/GUIAAOSwwcJeWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UaYAAOSwOJVeWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/loAAAOSw9fleWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/FdkAAOSwtixeWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/EYIAAOSwRVReWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UHUAAOSwxspeWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/tJMAAOSw92heWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/oPEAAOSwbq5eWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/oPEAAOSwbq5eWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/aikAAOSwIexeWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/dbYAAOSwdppeWIhx/$_57.jpg,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/b7gAAOSwcCpeWIhx/$_57.jpg,"ABS
Abstandstempomat
Adaptives Kurvenlicht
Allradantrieb
Ambiente-Beleuchtung
Apple CarPlay
Armlehne
Blendfreies Fernlicht
Bluetooth
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
Fernlichtassistent
Garantie
Isofix
Lederlenkrad
LED-Scheinwerfer
LED-Tagfahrlicht
Leichtmetallfelgen
Lichtsensor
Multifunktionslenkrad
Navigationssystem
Nichtraucher-Fahrzeug
Panorama-Dach
Partikelfilter
Radio DAB
Regensensor
Reifendruckkontrolle
Scheckheftgepflegt
Schiebedach
Servolenkung
Sitzheizung
Soundsystem
Sportpaket
Sportsitze
Sprachsteuerung
Spurhalteassistent
Standheizung
Totwinkel-Assistent
Touchscreen
Traktionskontrolle
Tuner/Radio
USB
Verkehrszeichenerkennung
Zentralverriegelung",Simon Gruber GmbH & Co.KG,85652,Landsham bei München,Erdinger Strasse 24,+49 (0)89 2441358329,4.6,82,07.04.2020
Mercedes-Benz A 180 Style LED Parktronic Sitzheizung Klima,15.750 €,Unfallfrei,Limousine,Deutsche Ausführung,"ca. 5,5 l/100km (kombiniert)
ca. 7,5 l/100km (innerorts)
ca. 4,3 l/100km (außerorts)",40.200 km,1.595 cm³,90 kW (122 PS),"Benzin, E10-geeignet",ca. 127 g/km (kombiniert),1,5,4/5,Schaltgetriebe,Euro6,4 (Grün),04/2016,Neu,Klimaanlage,2016,"Vorne, Hinten, Selbstlenkende Systeme","Front-, Seiten- und weitere Airbags",polarsilber,Silber Metallic,"Stoff, Schwarz",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/INYAAOSwXq5eJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/RCgAAOSwSdleJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/3UEAAOSw3lxeJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/~JsAAOSwTR9eJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/DH8AAOSwRg9eJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/06IAAOSwzQFeJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/XRYAAOSwKz5eJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/VV8AAOSwU7JeJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/VV8AAOSwU7JeJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/CfIAAOSwA5ReJ78-/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/tjkAAOSw8V9eJ78~/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/3swAAOSwvoZeJ78-/$_57.jpg,"ABS
Armlehne
Bluetooth
Bordcomputer
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Isofix
LED-Scheinwerfer
Leichtmetallfelgen
Lichtsensor
Lordosenstütze
Müdigkeitswarner
Multifunktionslenkrad
Nebelscheinwerfer
Nichtraucher-Fahrzeug
Notbremsassistent
Reifendruckkontrolle
Scheckheftgepflegt
Servolenkung
Sitzheizung
Sportsitze
Start/Stopp-Automatik
Tagfahrlicht
Traktionskontrolle
Tuner/Radio
Zentralverriegelung",Simon Gruber GmbH & Co.KG,85652,Landsham bei München,Erdinger Strasse 24,+49 (0)89 2488538032,4.6,82,07.04.2020
"Audi Q3 45 TFSI qu. S line edition one 20"" Virtual B&",56.290 €,Unfallfrei,"SUV / Geländewagen / Pickup, Vorführfahrzeug",Deutsche Ausführung,"7,4 l/100km (kombiniert)*
9,5 l/100km (innerorts)*
6,2 l/100km (außerorts)*",8.054 km,1.984 cm³,169 kW (230 PS),Benzin,174 g/km (kombiniert)*,1,5,4/5,Automatik,Euro6,4 (Grün),09/2019,09/2022,2-Zonen-Klimaautomatik,,"Vorne, Hinten, Kamera","Front-, Seiten- und weitere Airbags",Chronosgrau Metallic,Grau Metallic,"Vollleder, Grau",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/ZxIAAOSwC4xei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/YgIAAOSw8~1eZ-Kr/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/YQgAAOSwmcRei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/UdEAAOSwjdFei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/05IAAOSwuhhei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/2DUAAOSwzrZei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/KPAAAOSwDRNei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/uGIAAOSwAS1ei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/uGIAAOSwAS1ei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/~moAAOSwtElei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/wCIAAOSwjQtei2yb/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/UnEAAOSwrS5ei2yb/$_57.jpg,"ABS
Abstandstempomat
Abstandswarner
Alarmanlage
Allradantrieb
Ambiente-Beleuchtung
Android Auto
Anhängerkupplung fest
Apple CarPlay
Armlehne
Berganfahrassistent
Bluetooth
Bordcomputer
Dachreling
Elektr. Fensterheber
Elektr. Heckklappe
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Geschwindigkeitsbegrenzer
Induktionsladen für Smartphones
Innenspiegel autom. abblendend
Isofix
Lederlenkrad
LED-Scheinwerfer
LED-Tagfahrlicht
Leichtmetallfelgen
Lichtsensor
Lordosenstütze
Multifunktionslenkrad
Musikstreaming integriert
Navigationssystem
Nichtraucher-Fahrzeug
Notbremsassistent
Notrufsystem
Panorama-Dach
Radio DAB
Regensensor
Reifendruckkontrolle
Schaltwippen
Scheckheftgepflegt
Scheinwerferreinigung
Schiebedach
Schlüssellose Zentralverriegelung
Servolenkung
Sitzheizung
Sommerreifen
Soundsystem
Sportpaket
Sportsitze
Sprachsteuerung
Standheizung
Start/Stopp-Automatik
Totwinkel-Assistent
Traktionskontrolle
Tuner/Radio
USB
Verkehrszeichenerkennung
Volldigitales Kombiinstrument
Zentralverriegelung",Audi München GmbH / Gebrauchtwagen-Verkauf,80935,München,Detmoldstrasse 3,+49 (0)89 700745941,4.4,102,06.04.2020
Audi A3 Limousine 1.0 TFSI Sport Navi Xenon Sportsitz,20.160 €,,Limousine,Deutsche Ausführung,"ca. 4,6 l/100km (kombiniert)
ca. 5,7 l/100km (innerorts)
ca. 4,0 l/100km (außerorts)",13.401 km,999 cm³,85 kW (116 PS),Benzin,ca. 106 g/km (kombiniert),1,5,4/5,Schaltgetriebe,Euro6,4 (Grün),08/2018,08/2021,Klimaanlage,,"Vorne, Hinten","Front-, Seiten- und weitere Airbags",Ibisweiß,Weiß,"Stoff, Schwarz",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/TXUAAOSwBpteaij3/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/~xEAAOSw0wNeZ-LQ/$_57.jpg,,,,,,,,,,,"ABS
Armlehne
Berganfahrassistent
Bi-Xenon Scheinwerfer
Bluetooth
Bordcomputer
CD-Spieler
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Geschwindigkeitsbegrenzer
Isofix
Lederlenkrad
Leichtmetallfelgen
Multifunktionslenkrad
Navigationssystem
Nichtraucher-Fahrzeug
Reifendruckkontrolle
Scheckheftgepflegt
Scheinwerferreinigung
Servolenkung
Sitzheizung
Sportfahrwerk
Sportpaket
Sportsitze
Start/Stopp-Automatik
Tagfahrlicht
Traktionskontrolle
Tuner/Radio
USB
Zentralverriegelung",Audi München GmbH / Gebrauchtwagen-Verkauf,80935,München,Detmoldstrasse 3,+49 (0)89 700745941,4.4,102,06.04.2020
Audi Q3 1.4 TFSI Sport Komfortpaket Xenon Klima Sitzh,18.950 €,,SUV / Geländewagen / Pickup,Deutsche Ausführung,"ca. 5,5 l/100km (kombiniert)
ca. 6,6 l/100km (innerorts)
ca. 4,9 l/100km (außerorts)",55.828 km,1.395 cm³,110 kW (150 PS),Benzin,ca. 127 g/km (kombiniert),1,5,4/5,Schaltgetriebe,Euro6,4 (Grün),10/2016,11/2021,Klimaanlage,,Hinten,Front- und Seiten-Airbags,Brillantschwarz,Schwarz,"Stoff, Schwarz",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/2~MAAOSwtMVei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/o-AAAOSw6qhei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/2VQAAOSwlNpei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/HjMAAOSwFLRei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/XY8AAOSwbRFei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/6dAAAOSwXsBei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/YgIAAOSwzatei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/-RoAAOSwClZei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/-RoAAOSwClZei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/qAoAAOSwL7lei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/JV8AAOSwbklei2uT/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/ei8AAOSwKWVei2uT/$_57.jpg,"ABS
Armlehne
Berganfahrassistent
Bi-Xenon Scheinwerfer
Bluetooth
Bordcomputer
Dachreling
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Isofix
Lederlenkrad
Leichtmetallfelgen
Lordosenstütze
Multifunktionslenkrad
Nichtraucher-Fahrzeug
Reifendruckkontrolle
Scheckheftgepflegt
Scheinwerferreinigung
Schlüssellose Zentralverriegelung
Servolenkung
Sitzheizung
Sportsitze
Sprachsteuerung
Start/Stopp-Automatik
Tagfahrlicht
Traktionskontrolle
Tuner/Radio
Zentralverriegelung",Audi München GmbH / Gebrauchtwagen-Verkauf,80935,München,Detmoldstrasse 3,+49 (0)89 700745941,4.4,102,06.04.2020
Mazda 3 SKYACTIV-G 120 SPORTS-LINE Bluetooth Navi LED,16.950 €,Unfallfrei,Limousine,,"ca. 5,1 l/100km (kombiniert)
ca. 6,5 l/100km (innerorts)
ca. 4,3 l/100km (außerorts)",16.250 km,1.998 cm³,88 kW (120 PS),"Benzin, E10-geeignet",ca. 119 g/km (kombiniert),,5,4/5,Schaltgetriebe,Euro6,4 (Grün),03/2017,Neu,2-Zonen-Klimaautomatik,,"Vorne, Hinten, Kamera","Front-, Seiten- und weitere Airbags",Obsidiangrau,Grau Metallic,"Stoff, Schwarz",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/6jEAAOSw5R5daAiq/$_57.jpg,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/8bkAAOSwos5daAiq/$_57.jpg,,,,,,,,,,,"ABS
Armlehne
Beheizbares Lenkrad
Berganfahrassistent
Bluetooth
Bordcomputer
CD-Spieler
Elektr. Fensterheber
Elektr. Seitenspiegel
Elektr. Wegfahrsperre
ESP
Freisprecheinrichtung
Garantie
Geschwindigkeitsbegrenzer
Head-Up Display
Innenspiegel autom. abblendend
Isofix
Lederlenkrad
LED-Scheinwerfer
LED-Tagfahrlicht
Leichtmetallfelgen
Lichtsensor
Lordosenstütze
Müdigkeitswarner
Multifunktionslenkrad
Navigationssystem
Nebelscheinwerfer
Nichtraucher-Fahrzeug
Notbremsassistent
Radio DAB
Regensensor
Reifendruckkontrolle
Scheckheftgepflegt
Schlüssellose Zentralverriegelung
Sitzheizung
Soundsystem
Sprachsteuerung
Start/Stopp-Automatik
Tempomat
Totwinkel-Assistent
Traktionskontrolle
Tuner/Radio
USB
Verkehrszeichenerkennung
Zentralverriegelung",Autohaus Kirchseeon - Zweigniederlassung der Auto Eder GmbH,85614,Kirchseeon,Am Marterfeld 1,+49 (0)8091 393903024,4.7,71,06.04.2020
